Date,Miners_Revenue,Difficuly,Cost_Per_Transaction,Average_Block_Size,Total_Bitcoins,Average_Transaction_Confirmation_time
16/09/2021,41447857.65982050000,18415156832118.00,152.818373293638,1.5063900955882,18817743.75,10.1375
15/09/2021,43026873.39652880000,18415156832118.00,159.976774713165,1.3316786619718,18816868.75,9.75
14/09/2021,49469863.80813270000,18415156832118.00,183.575951403013,1.0378767321429,18815993.75,6.291666667
13/09/2021,45344744.03230820000,18415156832118.00,177.148665985499,1.0503387672956,18815112.5,6.366666667
12/09/2021,42869858.34315410000,18415156832118.00,216.135652886880,0.8351191088435,18814000,4.583333333
11/09/2021,42455401.02245940000,18415156832118.00,194.352816601247,1.0829645540541,18813025,5.833333333
10/09/2021,39761194.02916370000,18415156832118.00,152.125499880108,1.1944763602941,18812268.75,7.5125
09/09/2021,40368816.12583160000,18415156832118.00,147.125255575513,1.1926854306569,18811393.75,8.6
08/09/2021,41770433.46465710000,18403887482923.00,154.429052711841,1.1255606971831,18810381.25,7.670833333
07/09/2021,50271634.77666390000,17615033039279.00,176.640236882996,1.1407184967320,18809543.75,7.85
06/09/2021,57266555.76617540000,17615033039279.00,210.651878457464,1.0879010000000,18808675,4.658333333
05/09/2021,52134864.51670020000,17615033039279.00,254.234561149582,0.8120517560976,18807462.5,4.908333333
04/09/2021,49149539.30719790000,17615033039279.00,215.821840177041,0.8860538580645,18806531.25,4.916666667
03/09/2021,47116728.85951280000,17615033039279.00,165.909232544386,1.2684945000000,18805562.5,8.033333333
02/09/2021,47307177.29767030000,17615033039279.00,163.184468084409,1.2581258120805,18804693.75,8.708333333
01/09/2021,41665458.82355730000,17615033039279.00,148.346924050904,1.2568720291971,18803762.5,11.60833333
31/08/2021,43189750.75463790000,17615033039279.00,159.275973324671,1.1419137013889,18802887.5,7.675
30/08/2021,41207632.49601660000,17615033039279.00,164.203273479375,1.1784164074074,18802050,7.466666667
29/08/2021,48550300.09798560000,17615033039279.00,250.276049931106,0.8494015705128,18801018.75,4.008333333
28/08/2021,43653820.94932830000,17615033039279.00,200.001012284569,0.9332373971631,18800125,6.116666667
27/08/2021,44045251.69675710000,17615033039279.00,171.507095422572,1.0255255342466,18799162.5,5.766666667
26/08/2021,44344740.93695560000,17615033039279.00,169.217276087566,1.0190372054795,18798231.25,6.329166667
25/08/2021,48840322.24348580000,16431142929372.80,185.698292619210,0.9601314625000,18797431.25,5.491666667
24/08/2021,48446097.43704090000,15556093717703.00,181.791256944989,1.1354540064935,18796518.75,7.733333333
23/08/2021,62783444.83914170000,15556093717703.00,229.742879346383,0.9285368984772,18795500,4.133333333
22/08/2021,50723143.42981710000,15556093717703.00,266.080246286370,0.8382142500000,18794256.25,4.291666667
21/08/2021,52705962.50550660000,15556093717703.00,240.220059093404,0.8427393705882,18793150,5.516666667
20/08/2021,48449546.18566340000,15556093717703.00,178.230138596524,1.1527466750000,18792137.5,5.866666667
19/08/2021,44064382.99067610000,15556093717703.00,173.860345518692,1.1140925844156,18791206.25,6.2125
18/08/2021,38733931.86284880000,15556093717703.00,156.606404575405,1.2484088740741,18790231.25,7.833333333
17/08/2021,51238797.93256640000,15556093717703.00,196.949584999217,1.1411411337209,18789387.5,6.4
16/08/2021,47962042.25732770000,15556093717703.00,181.999105439354,1.1053970124224,18788187.5,6.875
15/08/2021,53211493.46389550000,15556093717703.00,285.716168277833,0.8235795879121,18787275,5.525
14/08/2021,48765927.53500250000,15556093717703.00,233.247211681043,0.7645612256098,18786193.75,5.816666667
13/08/2021,42018438.48174470000,15324761487407.40,161.222444908161,1.2439080211268,18785106.25,9.516666667
12/08/2021,42929376.78342870000,14496442856349.00,171.059952675629,1.0304098741722,18784106.25,8.033333333
